Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
COP,ConocoPhillips,98.83,11.723606,0.0308,8.43,127842541568.0,24445999104.0,2.245846,2.2803416,True,True,True,True,True,1,0
ED,Consolidated Edison,93.74,17.6203,0.036199998,5.32,32476971008.0,5555999744.0,2.160666,1.481142,True,True,True,True,True,1,0
STZ,Constellation Brands,180.8,49.264305,0.0184,3.67,33316921344.0,3887300096.0,3.2693136,3.3938394,False,True,True,False,False,0,0
CEG,Constellation Energy,299.98,34.01134,0.0046,8.82,96526368768.0,5997000192.0,4.0249505,7.4696217,False,True,True,False,False,0,0
COO,Cooper Companies (The),96.55,49.260204,0.0002,1.96,19269740544.0,1023000000.0,5.065519,2.4256356,False,True,True,True,False,0,0
GLW,Corning Inc.,52.08,89.793106,0.0219,0.58,44539285504.0,2607000064.0,3.5317805,3.8181818,False,True,True,False,True,0,0
CTVA,Corteva,65.27,68.70526,0.010299999,0.95,45464403968.0,3014000128.0,2.7327285,1.8184096,False,True,True,True,False,0,0
COST,Costco,979.88,57.53846,0.0047,17.03,434967773184.0,11521999872.0,1.7094228,18.381481,False,True,True,False,False,0,0
CTRA,Coterra,27.72,16.8,0.0296,1.65,20414255104.0,3448999936.0,3.7123578,1.5653058,True,True,True,True,True,1,0
CCI,Crown Castle,89.28,31.659575,0.070300005,2.82,38800912384.0,3993999872.0,5.885168,7.3330593,False,True,True,False,False,0,0
CSX,CSX Corporation,32.87,18.363129,0.0143,1.79,63387160576.0,7191000064.0,4.317632,4.902312,True,True,True,False,False,0,0
CMI,Cummins,356.25,23.299541,0.0202,15.29,48871088128.0,4582000128.0,1.4290627,4.737871,True,True,True,False,True,0,0
CVS,CVS Health,56.48,14.335025,0.0468,3.94,71074996224.0,14115000320.0,0.19353512,0.94806457,True,True,True,True,True,1,1
DHI,D. R. Horton,141.9,10.042462,0.0108,14.13,45525630976.0,6202899968.0,1.2370625,1.8164593,True,True,True,True,False,0,0
